,y
105943,0
77561,0
34771,0
111622,1
50156,0
59053,0
33629,0
73040,0
46797,1
22408,0
72478,0
94617,0
111884,0
75819,0
92776,0
83087,1
50939,0
30050,0
29231,0
3642,0
40096,0
69583,0
20676,0
102639,0
3514,0
11709,0
103110,0
31355,0
27952,0
28665,0
14622,0
58141,0
93326,0
64262,1
31230,0
8990,0
18465,0
90066,0
97081,0
69832,0
40845,0
25185,1
113593,0
106540,0
91853,1
78443,0
39653,0
72985,0
125371,0
72728,0
69885,0
86756,0
27486,1
41710,0
2191,0
34728,0
93063,0
43420,0
3166,1
56540,0
7132,0
47702,1
114645,0
35641,1
21812,0
112074,0
30645,0
75573,0
82543,0
83351,0
68541,0
26695,0
80462,1
1773,1
32979,0
102083,0
94929,0
50531,0
6262,0
83039,1
68501,0
97323,0
95993,0
8470,0
85937,0
97522,0
3515,0
37684,0
73799,1
245,0
21822,0
82324,0
36214,0
62651,0
52710,0
80741,0
82341,1
101269,0
93924,0
102636,0
77343,1
17136,0
19957,0
38678,0
39745,0
21609,0
15968,0
46149,0
66799,1
74975,0
92521,1
70775,0
23649,0
103471,1
23244,0
98254,0
106359,0
15804,0
6388,0
19084,0
100783,0
54233,0
63094,1
94101,1
109308,1
72126,0
16793,1
105115,0
34765,0
77675,0
85273,0
38440,0
16922,0
3429,0
46638,0
89101,1
113851,0
29383,0
25658,0
78384,0
50516,0
88558,0
122976,1
52905,0
28313,0
79814,0
26305,1
45555,0
4459,0
10428,0
75060,0
99076,1
11393,0
46621,1
71850,0
35435,0
60557,0
62408,0
46561,0
65446,0
113463,0
49654,0
80742,0
44753,0
64614,1
113710,0
7464,0
25850,0
38600,0
52647,0
44569,0
56426,0
96229,0
86747,1
27089,0
61667,0
98131,0
65813,0
79721,0
66665,0
21358,0
23767,0
75461,1
57075,0
14318,0
55162,0
115557,0
69803,1
64296,0
59528,0
19096,1
14625,0
12671,0
22626,0
19491,1
68783,0
104429,0
64011,0
16871,1
29716,0
93859,0
16618,0
62088,0
90458,1
11481,0
86790,1
35679,0
82251,0
90341,0
33125,0
38652,0
57014,0
46312,0
6565,0
2139,0
32168,1
78027,0
98041,0
65562,0
6033,1
9822,0
29609,1
26809,0
39477,0
75322,0
46115,0
51014,0
55950,0
58965,1
19081,0
